customer_id,customer_name,customer_email
1,João Souza,user42@email.com
2,Luiza Gomes,user6@email.com
3,Carlos Pereira,user15@email.com
4,João Souza,user43@email.com
5,Pedro Alves,user37@email.com
6,Carlos Pereira,user33@email.com
7,Maria Lima,user8@email.com
8,Maria Lima,user44@email.com
9,Ana Silva,user44@email.com
10,Pedro Alves,user5@email.com
11,Luiza Gomes,user39@email.com
12,Carlos Pereira,user4@email.com
13,João Souza,user6@email.com
14,Pedro Alves,user45@email.com
15,Pedro Alves,user32@email.com
16,Maria Lima,user30@email.com
17,Ana Silva,user47@email.com
18,Ana Silva,user35@email.com
19,Carlos Pereira,user40@email.com
20,Maria Lima,user16@email.com
21,Pedro Alves,user13@email.com
22,Luiza Gomes,user42@email.com
23,Carlos Pereira,user19@email.com
24,Carlos Pereira,user17@email.com
25,Maria Lima,user19@email.com
26,Carlos Pereira,user28@email.com
27,Maria Lima,user26@email.com
28,João Souza,user37@email.com
29,Maria Lima,user23@email.com
30,Carlos Pereira,user9@email.com
31,Carlos Pereira,user12@email.com
32,Ana Silva,user1@email.com
33,João Souza,user47@email.com
34,Ana Silva,user34@email.com
35,Maria Lima,user32@email.com
36,Carlos Pereira,user48@email.com
37,Ana Silva,user25@email.com
38,Ana Silva,user40@email.com
39,João Souza,user45@email.com
40,Pedro Alves,user1@email.com
41,João Souza,user16@email.com
42,Maria Lima,user39@email.com
43,Carlos Pereira,user5@email.com
44,João Souza,user22@email.com
45,Ana Silva,user29@email.com
46,Carlos Pereira,user3@email.com
47,Ana Silva,user26@email.com
48,Ana Silva,user37@email.com
49,Pedro Alves,user22@email.com
50,Carlos Pereira,user29@email.com
51,Luiza Gomes,user14@email.com
52,Luiza Gomes,user28@email.com
53,Maria Lima,user5@email.com
54,Ana Silva,user49@email.com
55,Maria Lima,user46@email.com
56,Pedro Alves,user16@email.com
57,Carlos Pereira,user26@email.com
58,Maria Lima,user48@email.com
59,Ana Silva,user21@email.com
60,Carlos Pereira,user39@email.com
61,Pedro Alves,user36@email.com
62,Pedro Alves,user30@email.com
63,Maria Lima,user37@email.com
64,Pedro Alves,user23@email.com
65,Ana Silva,user10@email.com
66,Ana Silva,user36@email.com
67,Luiza Gomes,user34@email.com
68,João Souza,user31@email.com
69,Pedro Alves,user10@email.com
70,João Souza,user19@email.com
71,João Souza,user32@email.com
72,Luiza Gomes,user45@email.com
73,Ana Silva,user4@email.com
74,Carlos Pereira,user16@email.com
75,Ana Silva,user24@email.com
76,Ana Silva,user2@email.com
77,Pedro Alves,user49@email.com
78,Carlos Pereira,user32@email.com
79,Maria Lima,user27@email.com
80,Ana Silva,user20@email.com
81,Maria Lima,user35@email.com
82,Maria Lima,user33@email.com
83,Pedro Alves,user33@email.com
84,Pedro Alves,user43@email.com
85,Pedro Alves,user12@email.com
86,Pedro Alves,user3@email.com
87,Luiza Gomes,user33@email.com
88,Maria Lima,user40@email.com
89,Maria Lima,user43@email.com
90,João Souza,user29@email.com
91,Luiza Gomes,user13@email.com
92,Ana Silva,user31@email.com
93,Carlos Pereira,user46@email.com
94,Luiza Gomes,user35@email.com
95,Carlos Pereira,user23@email.com
96,Luiza Gomes,user17@email.com
97,Carlos Pereira,user8@email.com
98,Maria Lima,user29@email.com
99,Carlos Pereira,user34@email.com
100,Pedro Alves,user41@email.com
101,Luiza Gomes,user7@email.com
102,Pedro Alves,user4@email.com
103,Pedro Alves,user11@email.com
104,Carlos Pereira,user36@email.com
105,Luiza Gomes,user21@email.com
106,Luiza Gomes,user36@email.com
107,Luiza Gomes,user9@email.com
108,Maria Lima,user24@email.com
109,Carlos Pereira,user35@email.com
110,Luiza Gomes,user48@email.com
111,Ana Silva,user18@email.com
112,Maria Lima,user49@email.com
113,João Souza,user39@email.com
114,Ana Silva,user32@email.com
115,João Souza,user24@email.com
116,João Souza,user49@email.com
117,João Souza,user23@email.com
118,Maria Lima,user25@email.com
119,João Souza,user35@email.com
120,João Souza,user41@email.com
121,João Souza,user30@email.com
122,Ana Silva,user17@email.com
123,Pedro Alves,user25@email.com
124,Luiza Gomes,user22@email.com
125,João Souza,user13@email.com
126,João Souza,user36@email.com
127,Ana Silva,user12@email.com
128,Luiza Gomes,user41@email.com
129,João Souza,user12@email.com
130,Ana Silva,user9@email.com
131,Carlos Pereira,user7@email.com
132,Carlos Pereira,user14@email.com
133,Pedro Alves,user19@email.com
134,Pedro Alves,user47@email.com
135,João Souza,user25@email.com
136,Pedro Alves,user21@email.com
137,Maria Lima,user36@email.com
138,Ana Silva,user23@email.com
139,Pedro Alves,user39@email.com
140,Pedro Alves,user42@email.com
141,João Souza,user14@email.com
142,Pedro Alves,user31@email.com
143,Ana Silva,user5@email.com
